,customerid,recency,frequency,monetary,avg_order_value,total_items,items_per_order
0,12346,326,1,77183.6,77183.6,74215,74215.0
1,12347,2,7,4310.0,615.7142857142857,2458,351.14285714285717
2,12348,75,4,1797.24,449.31,2341,585.25
3,12349,19,1,1757.55,1757.55,631,631.0
4,12350,310,1,334.40000000000003,334.40000000000003,197,197.0
5,12352,36,8,2506.04,313.255,536,67.0
6,12353,204,1,89.0,89.0,20,20.0
7,12354,232,1,1079.4,1079.4,530,530.0
8,12355,214,1,459.40000000000003,459.40000000000003,240,240.0
9,12356,23,3,2811.43,937.1433333333333,1591,530.3333333333334
10,12357,33,1,6207.67,6207.67,2708,2708.0
11,12358,2,2,1168.06,584.03,248,124.0
12,12359,58,4,6310.03,1577.5075,1609,402.25
13,12360,52,3,2662.06,887.3533333333334,1165,388.3333333333333
14,12361,287,1,189.9,189.9,91,91.0
15,12362,3,10,5226.2300000000005,522.623,2229,222.9
16,12363,110,2,552.0,276.0,408,204.0
17,12364,8,4,1313.1,328.275,1506,376.5
18,12365,291,2,641.38,320.69,174,87.0
19,12367,4,1,168.9,168.9,173,173.0
20,12370,51,4,3541.94,885.485,2352,588.0
21,12371,45,2,1887.96,943.98,591,295.5
22,12372,72,3,1298.04,432.68,794,264.6666666666667
23,12373,311,1,364.6,364.6,197,197.0
24,12374,25,1,742.9300000000001,742.9300000000001,342,342.0
25,12375,11,2,457.5,228.75,178,89.0
26,12377,315,2,1628.1200000000001,814.0600000000001,944,472.0
27,12378,130,1,4008.62,4008.62,2529,2529.0
28,12379,82,2,852.24,426.12,407,203.5
29,12380,22,4,2724.81,681.2025,1127,281.75
30,12381,5,5,1845.31,369.062,808,161.6
31,12383,185,5,1850.56,370.11199999999997,1532,306.4
32,12384,29,2,585.27,292.635,126,63.0
33,12386,338,2,401.9,200.95,354,177.0
34,12388,16,6,2780.6600000000003,463.4433333333334,1462,243.66666666666666
35,12390,80,1,549.84,549.84,353,353.0
36,12391,22,1,439.66,439.66,293,293.0
37,12393,72,4,1582.6000000000001,395.65000000000003,816,204.0
38,12394,64,2,1272.48,636.24,819,409.5
39,12395,19,12,3018.63,251.5525,2118,176.5
40,12397,36,2,2409.9,1204.95,1263,631.5
41,12398,46,1,1635.6599999999999,1635.6599999999999,1394,1394.0
42,12399,119,4,1108.65,277.1625,1178,294.5
43,12401,303,1,84.3,84.3,11,11.0
44,12402,323,1,225.60000000000002,225.60000000000002,94,94.0
45,12403,50,1,427.7,427.7,96,96.0
46,12405,149,1,1710.39,1710.39,857,857.0
47,12406,22,2,3415.3,1707.65,1818,909.0
48,12407,50,5,1708.12,341.62399999999997,1416,283.2
49,12408,33,5,2888.55,577.71,1409,281.8
50,12409,79,3,11072.67,3690.89,5551,1850.3333333333333
51,12410,309,2,693.33,346.665,211,105.5
52,12412,75,3,1226.88,408.96000000000004,829,276.3333333333333
53,12413,67,3,758.1,252.70000000000002,286,95.33333333333333
54,12414,217,3,562.4100000000001,187.47000000000003,300,100.0
55,12415,24,21,124914.53,5948.310952380953,77374,3684.4761904761904
56,12417,3,9,3649.1,405.4555555555555,1552,172.44444444444446
57,12418,113,1,668.58,668.58,407,407.0
58,12420,64,1,600.39,600.39,345,345.0
59,12421,16,4,807.04,201.76,484,121.0
60,12422,96,3,803.5600000000001,267.85333333333335,370,123.33333333333333
61,12423,1,8,1859.31,232.41375,1339,167.375
62,12424,163,2,1760.96,880.48,740,370.0
63,12425,78,1,777.2,777.2,496,496.0
64,12426,195,1,582.73,582.73,258,258.0
65,12427,22,3,825.8000000000001,275.2666666666667,533,177.66666666666666
66,12428,26,9,7956.46,884.0511111111111,3536,392.8888888888889
67,12429,9,4,3750.4,937.6,1557,389.25
68,12430,43,1,256.4,256.4,117,117.0
69,12431,36,15,6419.95,427.99666666666667,2896,193.06666666666666
70,12432,43,5,5059.32,1011.8639999999999,1801,360.2
71,12433,1,7,13375.87,1910.8385714285716,11071,1581.5714285714287
72,12434,85,2,806.14,403.07,394,197.0
73,12435,80,2,7829.89,3914.945,2055,1027.5
74,12436,100,1,509.01,509.01,211,211.0
75,12437,2,18,4951.41,275.0783333333333,2922,162.33333333333334
76,12438,14,2,2906.85,1453.425,1180,590.0
77,12441,367,1,173.55,173.55,121,121.0
78,12442,3,1,172.06,172.06,182,182.0
79,12444,21,5,5005.46,1001.092,1153,230.6
80,12445,22,1,133.4,133.4,62,62.0
81,12446,58,1,1002.3100000000001,1002.3100000000001,351,351.0
82,12447,243,1,476.49,476.49,190,190.0
83,12448,44,1,449.45,449.45,243,243.0
84,12449,22,4,4067.29,1016.8225,1553,388.25
85,12450,156,2,197.88,98.94,128,64.0
86,12451,11,5,9035.52,1807.104,6575,1315.0
87,12452,17,2,430.57000000000005,215.28500000000003,185,92.5
88,12453,134,1,707.09,707.09,473,473.0
89,12454,56,1,3528.34,3528.34,1006,1006.0
90,12455,73,6,2466.86,411.1433333333334,2089,348.1666666666667
91,12456,44,3,3181.04,1060.3466666666666,1633,544.3333333333334
92,12457,66,7,2363.23,337.6042857142857,843,120.42857142857143
93,12458,71,2,947.4,473.7,506,253.0
94,12461,94,2,826.88,413.44,287,143.5
95,12462,19,2,1189.59,594.795,536,268.0
